Quant-it_miks_pos,Quant-it_miks_bronn,Destinasjon,Quant-it_plate_bronn,Quant-it_miks_vol,Standard,Quant-it_Rack_pos,Pos_i_Quant-it_standard,Destinasjon,Pos_i_Quant-it_plate,Vol_standard
Quant-it_miks,1,Quant-it_plate,A1,200,Standard_1,Quant-it_standard,1,Quant-it_plate,A1,10
Quant-it_miks,1,Quant-it_plate,B1,200,Standard_1,Quant-it_standard,1,Quant-it_plate,B1,10
Quant-it_miks,1,Quant-it_plate,C1,200,Standard_2,Quant-it_standard,2,Quant-it_plate,C1,10
Quant-it_miks,1,Quant-it_plate,D1,200,Standard_2,Quant-it_standard,2,Quant-it_plate,D1,10
Quant-it_miks,1,Quant-it_plate,E1,200,Standard_3,Quant-it_standard,3,Quant-it_plate,E1,10
Quant-it_miks,1,Quant-it_plate,F1,200,Standard_3,Quant-it_standard,3,Quant-it_plate,F1,10
Quant-it_miks,1,Quant-it_plate,G1,200,Standard_4,Quant-it_standard,4,Quant-it_plate,G1,10
Quant-it_miks,1,Quant-it_plate,H1,200,Standard_4,Quant-it_standard,4,Quant-it_plate,H1,10
